probe-id	chromosome	start	stop	strand	genes
cg00000292	16	28878778	28878780	-	AC009093.11;ATP2A1
cg00002426	3	57757815	57757817	-	SLMAP
cg00003994	7	15686236	15686238	+	MEOX2
cg00005847	2	176164344	176164346	-	AC009336.1;HAGLR;HOXD3
cg00006414	7	149125744	149125746	-	RN7SL521P;ZNF398;ZNF425
cg00007981	11	94129427	94129429	+	PANX1
cg00008493	14	93347430	93347432	+	COX8C;UNC79
cg00008713	18	11980953	11980955	+	IMPA2
cg00009407	14	88824576	88824578	+	TTC8
cg00010193	4	1151427	1151429	-	AC092535.2;TMED11P
cg00011459	16	8796567	8796569	-	PMM2;TMEM186
cg00012199	14	20682864	20682866	-	ANG
cg00012386	1	227734810	227734812	+	JMJD4;SNAP47
cg00012792	6	8064259	8064261	+	BLOC1S5;BLOC1S5-TXNDC5;EEF1E1-BLOC1S5
cg00013618	22	22026440	22026442	+	IGLVI-70;PRAMENP
cg00014085	2	85354381	85354383	+	ELMOD3;RETSAT
cg00014837	12	6648090	6648092	+	ACRBP
cg00015770	4	121380851	121380853	-	QRFPR
cg00016968	1	112707825	112707827	+	AL603832.3;RHOC
cg00019495	4	56681358	56681360	+	HOPX
cg00020533	6	35513138	35513140	-	TULP1
cg00021527	17	35809175	35809177	+	AC015849.2;TAF15
cg00022606	20	461800	461802	-	TBC1D20
cg00022866	11	64340967	64340969	-	CCDC88B
cg00024396	6	53349209	53349211	+	AL034374.1;ELOVL5
cg00024812	2	9424118	9424120	-	CPSF3;ITGB1BP1
cg00025138	14	70809199	70809201	+	AC004816.1;MAP3K9
cg00025991	10	690684	690686	+	DIP2C
cg00027083	18	5543801	5543803	-	EPB41L3
cg00027674	11	88175728	88175730	+	MIR3166;RAB38
cg00029826	14	20333299	20333301	-	CCNB1IP1
cg00029931	X	101390752	101390754	-	BTK;RPL36A;RPL36A-HNRNPH2
cg00030047	1	6208729	6208731	+	RNF207;RPL22
cg00031162	17	7550059	7550061	+	TNFSF12;TNFSF12-TNFSF13
cg00032227	17	74776372	74776374	-	NAT9;TMEM104
cg00032666	X	150445131	150445133	+	MAMLD1
cg00033516	4	38665151	38665153	+	KLF3;KLF3-AS1
cg00033773	19	12668551	12668553	+	AC010422.5;AC010422.8;WDR83;WDR83OS
cg00034039	9	71911349	71911351	-	ABHD17B;C9orf85
cg00035347	10	103193850	103193852	-	NT5C2
cg00035623	19	55408467	55408469	-	UBE2S
cg00037763	18	44701797	44701799	-	SETBP1
cg00037940	3	138760442	138760444	+	PIK3CB
cg00040861	19	2328391	2328393	-	AC005258.1;LSM7;SPPL2B
cg00040873	16	1959155	1959157	-	NDUFB10
