unique	mir-name	mirbase-id	mir-type	chromosome	start-loc	end-loc	strand	pre-mir-names	pre-mirbase-ids
hsa-let-7a-1|MI0000060	hsa-let-7a-1	MI0000060	pre-mir	9	94175957	94176036	+		
hsa-let-7a-2|MI0000061	hsa-let-7a-2	MI0000061	pre-mir	11	122146522	122146593	-		
hsa-let-7a-3|MI0000062	hsa-let-7a-3	MI0000062	pre-mir	22	46112749	46112822	+		
hsa-let-7b|MI0000063	hsa-let-7b	MI0000063	pre-mir	22	46113686	46113768	+		
hsa-let-7c|MI0000064	hsa-let-7c	MI0000064	pre-mir	21	16539828	16539911	+		
hsa-let-7d|MI0000065	hsa-let-7d	MI0000065	pre-mir	9	94178834	94178920	+		
hsa-let-7e|MI0000066	hsa-let-7e	MI0000066	pre-mir	19	51692786	51692864	+		
hsa-let-7f-1|MI0000067	hsa-let-7f-1	MI0000067	pre-mir	9	94176347	94176433	+		
hsa-let-7f-2|MI0000068	hsa-let-7f-2	MI0000068	pre-mir	X	53557192	53557274	-		
hsa-mir-15a|MI0000069	hsa-mir-15a	MI0000069	pre-mir	13	50049119	50049201	-		
hsa-mir-16-1|MI0000070	hsa-mir-16-1	MI0000070	pre-mir	13	50048973	50049061	-		
hsa-mir-17|MI0000071	hsa-mir-17	MI0000071	pre-mir	13	91350605	91350688	+		
hsa-mir-18a|MI0000072	hsa-mir-18a	MI0000072	pre-mir	13	91350751	91350821	+		
hsa-mir-19a|MI0000073	hsa-mir-19a	MI0000073	pre-mir	13	91350891	91350972	+		
hsa-mir-19b-1|MI0000074	hsa-mir-19b-1	MI0000074	pre-mir	13	91351192	91351278	+		
hsa-mir-19b-2|MI0000075	hsa-mir-19b-2	MI0000075	pre-mir	X	134169671	134169766	-		
hsa-mir-20a|MI0000076	hsa-mir-20a	MI0000076	pre-mir	13	91351065	91351135	+		
hsa-mir-21|MI0000077	hsa-mir-21	MI0000077	pre-mir	17	59841266	59841337	+		
hsa-mir-22|MI0000078	hsa-mir-22	MI0000078	pre-mir	17	1713903	1713987	-		
hsa-mir-23a|MI0000079	hsa-mir-23a	MI0000079	pre-mir	19	13836587	13836659	-		
hsa-mir-24-1|MI0000080	hsa-mir-24-1	MI0000080	pre-mir	9	95086021	95086088	+		
hsa-mir-24-2|MI0000081	hsa-mir-24-2	MI0000081	pre-mir	19	13836287	13836359	-		
hsa-mir-25|MI0000082	hsa-mir-25	MI0000082	pre-mir	7	100093560	100093643	-		
hsa-mir-26a-1|MI0000083	hsa-mir-26a-1	MI0000083	pre-mir	3	37969404	37969480	+		
hsa-mir-26b|MI0000084	hsa-mir-26b	MI0000084	pre-mir	2	218402646	218402722	+		
hsa-mir-27a|MI0000085	hsa-mir-27a	MI0000085	pre-mir	19	13836440	13836517	-		
hsa-mir-28|MI0000086	hsa-mir-28	MI0000086	pre-mir	3	188688781	188688866	+		
hsa-mir-29a|MI0000087	hsa-mir-29a	MI0000087	pre-mir	7	130876747	130876810	-		
hsa-mir-30a|MI0000088	hsa-mir-30a	MI0000088	pre-mir	6	71403551	71403621	-		
hsa-mir-31|MI0000089	hsa-mir-31	MI0000089	pre-mir	9	21512115	21512185	-		
hsa-mir-32|MI0000090	hsa-mir-32	MI0000090	pre-mir	9	109046229	109046298	-		
hsa-mir-33a|MI0000091	hsa-mir-33a	MI0000091	pre-mir	22	41900944	41901012	+		
hsa-mir-92a-1|MI0000093	hsa-mir-92a-1	MI0000093	pre-mir	13	91351314	91351391	+		
hsa-mir-92a-2|MI0000094	hsa-mir-92a-2	MI0000094	pre-mir	X	134169538	134169612	-		
hsa-mir-93|MI0000095	hsa-mir-93	MI0000095	pre-mir	7	100093768	100093847	-		
hsa-mir-95|MI0000097	hsa-mir-95	MI0000097	pre-mir	4	8005301	8005381	-		
hsa-mir-96|MI0000098	hsa-mir-96	MI0000098	pre-mir	7	129774692	129774769	-		
hsa-mir-98|MI0000100	hsa-mir-98	MI0000100	pre-mir	X	53556223	53556341	-		
hsa-mir-99a|MI0000101	hsa-mir-99a	MI0000101	pre-mir	21	16539089	16539169	+		
hsa-mir-100|MI0000102	hsa-mir-100	MI0000102	pre-mir	11	122152229	122152308	-		
hsa-mir-101-1|MI0000103	hsa-mir-101-1	MI0000103	pre-mir	1	65058434	65058508	-		
hsa-mir-29b-1|MI0000105	hsa-mir-29b-1	MI0000105	pre-mir	7	130877459	130877539	-		
hsa-mir-29b-2|MI0000107	hsa-mir-29b-2	MI0000107	pre-mir	1	207802443	207802523	-		
hsa-mir-103a-2|MI0000108	hsa-mir-103a-2	MI0000108	pre-mir	20	3917494	3917571	+		
hsa-mir-103a-1|MI0000109	hsa-mir-103a-1	MI0000109	pre-mir	5	168560896	168560973	-		
hsa-mir-105-1|MI0000111	hsa-mir-105-1	MI0000111	pre-mir	X	152392219	152392299	-		
hsa-mir-105-2|MI0000112	hsa-mir-105-2	MI0000112	pre-mir	X	152394412	152394492	-		
hsa-mir-106a|MI0000113	hsa-mir-106a	MI0000113	pre-mir	X	134170198	134170278	-		
hsa-mir-107|MI0000114	hsa-mir-107	MI0000114	pre-mir	10	89592747	89592827	-		
hsa-mir-16-2|MI0000115	hsa-mir-16-2	MI0000115	pre-mir	3	160404745	160404825	+		
hsa-mir-192|MI0000234	hsa-mir-192	MI0000234	pre-mir	11	64891137	64891246	-		
hsa-mir-196a-1|MI0000238	hsa-mir-196a-1	MI0000238	pre-mir	17	48632490	48632559	-		
hsa-mir-197|MI0000239	hsa-mir-197	MI0000239	pre-mir	1	109598893	109598967	+		
hsa-mir-198|MI0000240	hsa-mir-198	MI0000240	pre-mir	3	120395668	120395729	-		
