unique	gene-symbol	entrez-id	transcript	chromosome	start-loc	end-loc	strand
?|100130426	?	100130426		9	79791679	79792806	+
?|100133144|1of2	?	100133144	1of2	15	82647286	82708202	+
?|100133144|2of2	?	100133144	2of2	15	83023773	83084727	+
?|100134869|1of2	?	100134869	1of2	15	82647286	82707815	+
?|100134869|2of2	?	100134869	2of2	15	83023773	83084340	+
?|10357	?	10357		20	56063450	56064083	-
?|10431	?	10431		10	51592090	51623336	-
?|136542	?	136542		7	141940630	141943268	+
?|155060	?	155060		7	148959262	148994397	+
?|26823	?	26823		X	46991713	46992256	+
?|280660	?	280660		X	48154885	48165614	-
?|317712	?	317712		4	70999321	71012421	-
?|340602	?	340602		X	51149767	51151687	+
?|388795	?	388795		20	31446729	31549414	+
?|390284	?	390284		12	6547667	6547997	+
?|391343	?	391343		2	902783	906011	-
?|391714	?	391714		4	165980300	165981705	+
?|404770	?	404770		9	84675660	84677004	-
?|441362|1of2	?	441362	1of2	8	86727073	86749604	+
?|441362|2of2	?	441362	2of2	8	86566828	86567905	-
?|442388	?	442388		8	57285627	57307924	-
?|553137	?	553137		6	107218007	107222877	-
?|57714	?	57714		17	78234667	78310700	+
?|645851	?	645851		17	26937016	26938463	-
?|652919	?	652919		2	111296067	111336309	-
?|653553	?	653553		9	74622672	74623052	-
?|728045	?	728045		4	74713583	74714553	+
?|728603	?	728603		10	48844043	48862615	-
?|728788	?	728788		9	69425668	69448861	+
?|729884	?	729884		4	69313167	69363321	+
?|8225	?	8225		X	221426	230887	-
?|90288	?	90288		3	129120165	129147494	-
A1BG|1	A1BG	1		19	58858174	58874120	-
A1CF|29974	A1CF	29974		10	52566327	52645435	-
A2BP1|54715	A2BP1	54715		16	6069132	7763340	+
A2LD1|87769	A2LD1	87769		13	101182437	101241046	-
A2ML1|144568	A2ML1	144568		12	8975150	9039597	+
A2M|2	A2M	2		12	9220304	9268558	-
A4GALT|53947	A4GALT	53947		22	43088128	43117286	-
A4GNT|51146	A4GNT	51146		3	137842560	137851229	-
AAA1|404744	AAA1	404744		7	34390035	34911194	-
AAAS|8086	AAAS	8086		12	53701241	53715412	-
AACSL|729522	AACSL	729522		5	178191866	178245436	-
AACS|65985	AACS	65985		12	125549925	125627872	+
AADACL2|344752	AADACL2	344752		3	151451704	151475554	+
AADACL3|126767	AADACL3	126767		1	12776118	12788726	+
AADACL4|343066	AADACL4	343066		1	12704566	12727096	+
AADAC|13	AADAC	13		3	151531861	151546276	+
AADAT|51166	AADAT	51166		4	170981374	171011372	-
AAGAB|79719	AAGAB	79719		15	67493369	67547533	-
AAK1|22848	AAK1	22848		2	69685127	69870977	-
AAMP|14	AAMP	14		2	219128853	219134893	-
AANAT|15	AANAT	15		17	74463651	74466198	+
AARS2|57505	AARS2	57505		6	44266463	44281063	-
AARSD1|80755	AARSD1	80755		17	41102545	41132545	-
AARS|16	AARS	16		16	70286297	70323412	-
AASDHPPT|60496	AASDHPPT	60496		11	105948292	105969419	+
AASDH|132949	AASDH	132949		4	57204459	57253638	-
AASS|10157	AASS	10157		7	121713600	121784344	-
AATF|26574	AATF	26574		17	35306175	35414170	+
AATK|9625	AATK	9625		17	79091100	79139872	-
ABAT|18	ABAT	18		16	8768444	8878431	+
ABCA10|10349	ABCA10	10349		17	67144148	67240956	-
ABCA11P|79963	ABCA11P	79963		4	419224	467998	-
ABCA12|26154	ABCA12	26154		2	215796267	216003151	-
ABCA13|154664	ABCA13	154664		7	48211057	48687091	+
ABCA17P|650655	ABCA17P	650655		16	2389291	2476700	+
ABCA1|19	ABCA1	19		9	107543285	107690436	-
ABCA2|20	ABCA2	20		9	139901686	139923374	-
ABCA3|21	ABCA3	21		16	2325879	2390747	-
ABCA4|24	ABCA4	24		1	94458396	94586705	-
ABCA5|23461	ABCA5	23461		17	67240576	67323323	-
ABCA6|23460	ABCA6	23460		17	67074847	67138015	-
ABCA7|10347	ABCA7	10347		19	1040102	1065568	+
ABCA8|10351	ABCA8	10351		17	66863433	66951533	-
ABCA9|10350	ABCA9	10350		17	66970774	67057136	-
ABCB10|23456	ABCB10	23456		1	229652330	229694442	-
